idUsuario,contenido,fechaSugerencia,revisada
1,"Sería genial tener un modo nocturno en la interfaz","2025-03-01 14:30:00",false
2,"Agregar más opciones de personalización para los avatares","2025-03-02 15:45:00",true
3,"Un sistema de torneos semanales sería interesante","2025-03-03 16:00:00",false
4,"Implementar un chat de voz en las partidas","2025-03-04 17:20:00",false
5,"Añadir estadísticas detalladas de cada partida","2025-03-05 18:35:00",true
6,"Poner más recompensas por victorias consecutivas","2025-03-06 19:50:00",false
7,"Incluir un sistema de clanes o equipos","2025-03-07 21:05:00",true
8,"Más variedad de roles en las partidas estaría bien","2025-03-08 22:10:00",false
9,"Crear una sección de guías y consejos para nuevos jugadores","2025-03-09 23:25:00",false
10,"Añadir emojis y reacciones rápidas en el chat","2025-03-10 10:40:00",true
11,"Hacer eventos especiales con recompensas únicas","2025-03-11 11:55:00",false
12,"Un sistema de reportes más eficiente para detectar trampas","2025-03-12 13:10:00",true
13,"Permitir la creación de partidas personalizadas con reglas únicas","2025-03-13 14:25:00",false
14,"Hacer que los jugadores puedan ver repeticiones de sus partidas","2025-03-14 15:30:00",false
15,"Un matchmaking más balanceado entre jugadores nuevos y experimentados","2025-03-15 16:45:00",false
16,"Poder bloquear o silenciar jugadores molestos en el chat","2025-03-16 17:50:00",false
1,"Integrar sistema de logros para premiar la dedicación","2025-03-17 12:00:00",true
2,"Optimizar el rendimiento del servidor durante horas pico","2025-03-18 13:15:00",false
3,"Agregar soporte para idiomas adicionales","2025-03-19 14:30:00",true
4,"Permitir la personalización de la interfaz de usuario","2025-03-20 15:45:00",false
5,"Implementar notificaciones en tiempo real para eventos importantes","2025-03-21 16:00:00",true
6,"Agregar tutorial interactivo para nuevos jugadores","2025-03-22 17:20:00",false
7,"Mejorar la integración con redes sociales","2025-03-23 18:35:00",false
8,"Permitir guardar configuraciones personalizadas","2025-03-24 19:50:00",true
9,"Añadir soporte para realidad virtual","2025-03-25 20:05:00",false
10,"Ofrecer un modo de entrenamiento interactivo","2025-03-26 21:10:00",false
11,"Implementar un sistema de feedback en tiempo real","2025-03-27 22:15:00",true
12,"Crear un panel de control para administradores","2025-03-28 23:20:00",false
13,"Incluir música ambiental personalizable en el juego","2025-03-29 10:25:00",false
14,"Permitir la integración con dispositivos móviles","2025-03-30 11:30:00",true
15,"Ofrecer opciones avanzadas de configuración de partida","2025-03-31 12:35:00",false
16,"Mejorar la seguridad con autenticación de dos factores","2025-04-01 13:40:00",true
1,"Agregar un sistema de recompensas diarias","2025-04-02 14:45:00",false
2,"Incluir un modo cooperativo en las partidas","2025-04-03 15:50:00",false
3,"Crear un sistema de mentoría para jugadores nuevos","2025-04-04 16:55:00",true
4,"Permitir la creación de grupos o comunidades dentro del juego","2025-04-05 17:00:00",false
5,"Implementar gráficos mejorados y efectos visuales","2025-04-06 18:05:00",true
6,"Agregar un modo de juego sin conexión","2025-04-07 19:10:00",false
7,"Ofrecer actualizaciones regulares con nuevos contenidos","2025-04-08 20:15:00",false
8,"Crear un sistema de ranking basado en habilidades","2025-04-09 21:20:00",true
9,"Implementar soporte para múltiples idiomas","2025-04-10 22:25:00",false
10,"Agregar un sistema de logros y medallas","2025-04-11 23:30:00",true
11,"Permitir la personalización de la experiencia del juego","2025-04-12 10:35:00",false
12,"Incluir tutoriales en video para aprender las reglas","2025-04-13 11:40:00",true
13,"Agregar un modo de realidad aumentada","2025-04-14 12:45:00",false
14,"Ofrecer integración con plataformas de streaming","2025-04-15 13:50:00",true
15,"Implementar un sistema de soporte al cliente en línea","2025-04-16 14:55:00",false
16,"Agregar opciones para personalizar controles","2025-04-17 15:00:00",true
1,"Crear eventos especiales durante festividades","2025-04-18 16:05:00",false
2,"Implementar un sistema de encuestas para recoger feedback","2025-04-19 17:10:00",true
